88,84,0,34
88,79,0,34
88,74,0,34
88,67,0,33
88,62,0,33
88,55,0,32
88,50,0,31
87,44,0,30
88,38,0,29
88,33,0,27
88,26,0,26
88,21,0,24
88,15,0,23

33,110,135,24
39,106,135,25
45,101,135,26
51,95,135,27
57,91,135,28
64,85,135,28
70,81,135,29
69,75,135,29
64,72,135,29
59,66,135,29
55,61,135,28
51,56,135,28
46,50,135,27
42,46,135,27
37,41,135,26
32,36,135,25
28,30,135,24
24,25,135,23
19,20,135,21
15,15,135,20

69,154,270,22
70,149,270,24
70,143,270,25
71,138,270,27
72,131,270,28
72,125,270,30
73,120,270,31
74,113,270,32
75,108,270,33
76,102,270,33
76,96,270,33
77,91,270,34
77,85,270,34
79,79,270,34
79,73,270,33
81,68,270,33
81,62,270,33
82,56,270,32
83,50,270,31
84,44,270,30
85,38,270,29
86,33,270,27
87,27,270,26
88,21,270,24
88,15,270,23

32,101,45,24
37,98,45,25
42,93,45,26
48,88,45,27
54,83,45,27
59,77,45,28
64,72,45,28
68,66,45,28
66,61,45,28
60,55,45,28
56,49,45,27
51,44,45,27
45,38,45,26
39,32,45,25
33,28,45,24
27,23,45,23
22,18,45,22
16,13,45,21

83,155,180,23
84,150,180,24
84,143,180,26
84,137,180,27
84,132,180,29
85,126,180,30
85,119,180,31
85,114,180,32
86,107,180,33
86,102,180,33
87,96,180,34
86,90,180,34
87,84,180,34
87,77,180,34
88,72,180,34
88,65,180,33
88,60,180,33
88,54,180,32
89,48,180,31
89,42,180,30
90,36,180,28
90,31,180,27
90,25,180,25
91,19,180,24
92,13,180,22

31,103,315,24
36,99,315,25
42,94,315,25
48,88,315,26
54,84,315,27
59,79,315,27
66,75,315,28
65,70,315,28
61,65,315,28
56,60,315,28
51,55,315,28
47,51,315,27
42,46,315,27
37,41,315,26
33,36,315,25
29,31,315,24
24,26,315,23
20,22,315,22
16,17,315,21
11,12,315,20

69,157,90,22
68,153,90,23
68,147,90,24
67,140,90,26
65,135,90,27
65,129,90,28
64,123,90,29
64,118,90,30
63,111,90,31
62,106,90,31
61,100,90,32
60,95,90,32
59,88,90,32
58,83,90,32
57,76,90,32
56,71,90,31
55,66,90,31
55,60,90,30
54,54,90,29
52,48,90,28
52,42,90,26
51,37,90,25
50,31,90,24
49,25,90,22
48,20,90,21
47,14,90,19

24,133,225,21
26,128,225,22
30,123,225,24
34,117,225,25
37,113,225,26
41,107,225,27
45,103,225,28
47,96,225,29
51,90,225,30
54,85,225,30
58,78,225,30
61,74,225,31
64,68,225,31
68,63,225,30
71,57,225,30
75,51,225,29
76,46,225,29
67,40,225,28
58,35,225,27
50,30,225,26
42,25,225,24
34,19,225,23
27,14,225,22

46,160,0,24
55,156,0,25
66,150,0,26
78,143,0,27
77,137,0,28
75,132,0,29
73,125,0,30
70,120,0,31
68,114,0,32
66,107,0,32
64,103,0,32
62,96,0,32
60,91,0,32
57,85,0,31
55,80,0,31
52,74,0,30
51,68,0,29
49,62,0,28
46,57,0,27
45,51,0,26
43,45,0,25
40,40,0,23
38,34,0,22
36,28,0,20
34,23,0,19
32,17,0,17
30,12,0,16

15,138,135,17
16,133,135,18
18,127,135,20
19,121,135,21
20,116,135,22
22,109,135,23
23,105,135,23
25,98,135,24
26,93,135,25
27,87,135,25
29,81,135,26
30,76,135,26
32,71,135,26
34,64,135,26
35,59,135,26
37,54,135,25
38,48,135,25
40,43,135,24
42,37,135,23
44,31,135,23
45,25,135,22
47,20,135,21
49,15,135,20

47,162,270,22
55,156,270,23
64,151,270,25
73,146,270,26
83,139,270,28
92,133,270,29
100,129,270,30
109,123,270,32
112,117,270,32
108,112,270,33
106,107,270,33
103,100,270,34
99,96,270,34
96,90,270,34
92,83,270,34
91,78,270,33
87,73,270,33
84,67,270,33
80,61,270,32
78,55,270,30
75,49,270,29
72,43,270,28
69,38,270,26
66,33,270,25
63,27,270,23
60,22,270,22
57,16,270,20
53,10,270,19

14,116,45,20
15,113,45,21
16,107,45,21
18,100,45,22
19,95,45,23
20,89,45,23
21,83,45,24
23,78,45,24
24,72,45,24
26,67,45,24
27,61,45,24
29,56,45,24
30,50,45,23
32,44,45,23
34,38,45,22
35,33,45,21
36,27,45,21
38,21,45,20
39,16,45,19
40,10,45,17

27,176,180,19
32,171,180,21
37,166,180,22
44,162,180,24
51,157,180,25
56,154,180,27
64,149,180,28
70,143,180,30
75,138,180,31
81,132,180,32
86,125,180,33
91,119,180,33
97,113,180,33
102,107,180,33
96,102,180,34
93,97,180,33
87,92,180,33
83,87,180,33
77,82,180,32
72,77,180,31
67,72,180,30
63,67,180,29
58,62,180,28
54,55,180,27
49,51,180,25
44,46,180,24
40,40,180,22
35,35,180,21
30,30,180,19
25,25,180,17
20,19,180,16
16,14,180,14

21,120,315,16
21,130,315,17
21,127,315,18
20,123,315,18
19,119,315,19
19,116,315,20
19,110,315,21
18,106,315,21
18,104,315,22
17,98,315,22
17,96,315,22
16,91,315,22
16,84,315,22
15,79,315,22
14,73,315,22
14,68,315,21
13,61,315,20
12,56,315,20
12,50,315,19
11,44,315,18
11,38,315,17
10,33,315,16
9,27,315,15
8,22,315,14
7,16,315,13
7,10,315,12

18,172,90,14
21,166,90,15
23,161,90,16
26,155,90,18
29,149,90,19
32,144,90,21
34,138,90,22
37,132,90,24
39,125,90,25
42,120,90,26
44,113,90,28
47,109,90,29
49,103,90,30
53,98,90,30
55,92,90,31
59,87,90,31
61,82,90,32
65,77,90,32
67,71,90,32
70,65,90,31
73,59,90,31
75,53,90,30
77,48,90,30
79,42,90,29
79,36,90,27
68,31,90,26
57,25,90,25
47,20,90,24
37,14,90,22

57,155,225,24
65,151,225,25
76,146,225,27
84,140,225,28
81,133,225,29
79,128,225,30
77,122,225,31
75,116,225,32
73,111,225,32
71,104,225,33
68,100,225,33
66,93,225,33
64,88,225,33
61,81,225,32
59,76,225,32
